datetime,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS10M,CLRSKY_SFC_SW_DWN,T2M,ALLSKY_SFC_LW_DWN,PS,RH2M,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,ALLSKY_SFC_SW_DNI,pv_production_kwh,CELL_TEMP_C,TEMP_DERATE,POA_IRRADIANCE
2023-01-01 00:00:00,2023,1,1,0,0.0,4.68,0.0,15.42,307.95,102.67,70.6,0.0,0.0,0.0,0.0,8.4,1.0581,0.0
2023-01-01 01:00:00,2023,1,1,1,0.0,4.55,0.0,15.12,304.85,102.66,69.68,0.0,0.0,0.0,0.0,8.3,1.0585,0.0
2023-01-01 02:00:00,2023,1,1,2,0.0,4.47,0.0,14.82,304.9,102.66,69.68,0.0,0.0,0.0,0.0,8.12,1.0591,0.0
2023-01-01 03:00:00,2023,1,1,3,0.0,4.39,0.0,14.51,305.27,102.63,70.77,0.0,0.0,0.0,0.0,7.93,1.0598,0.0
2023-01-01 04:00:00,2023,1,1,4,0.0,4.27,0.0,14.24,303.67,102.61,72.91,0.0,0.0,0.0,0.0,7.84,1.0601,0.0
2023-01-01 05:00:00,2023,1,1,5,0.0,4.15,0.0,14.06,303.9,102.6,74.99,0.0,0.0,0.0,0.0,7.84,1.0601,0.0
2023-01-01 06:00:00,2023,1,1,6,0.0,4.11,0.0,13.89,301.67,102.61,76.75,0.0,0.0,0.0,0.0,7.72,1.0605,0.0
2023-01-01 07:00:00,2023,1,1,7,0.0,4.07,0.0,13.78,300.8,102.62,77.82,0.0,0.0,0.0,0.0,7.67,1.0606,0.0
2023-01-01 08:00:00,2023,1,1,8,98.55,4.07,102.62,14.16,301.98,102.62,76.54,45.48,0.0,313.51,0.113,11.13,1.0485,134.33
2023-01-01 09:00:00,2023,1,1,9,242.85,4.37,248.3,14.8,299.45,102.63,72.28,73.78,0.0,572.15,0.249,15.83,1.0321,300.9
2023-01-01 10:00:00,2023,1,1,10,372.77,4.41,377.62,15.63,299.62,102.63,68.06,91.65,0.0,697.92,0.362,20.66,1.0152,444.88
2023-01-01 11:00:00,2023,1,1,11,459.83,4.93,465.52,16.86,304.23,102.57,63.49,84.22,0.0,803.39,0.423,23.83,1.0041,526.09
2023-01-01 12:00:00,2023,1,1,12,489.9,5.34,492.9,17.92,304.52,102.49,59.64,82.28,0.0,834.69,0.444,25.22,0.9992,554.64
2023-01-01 13:00:00,2023,1,1,13,464.65,5.27,465.05,18.75,303.75,102.42,56.88,68.05,0.0,865.74,0.414,25.37,0.9987,518.19
2023-01-01 14:00:00,2023,1,1,14,362.08,4.73,364.75,19.24,309.52,102.37,57.55,83.33,0.0,720.6,0.344,23.46,1.0054,427.64
2023-01-01 15:00:00,2023,1,1,15,233.82,4.31,239.77,19.29,312.45,102.34,60.48,61.51,0.0,651.67,0.23,20.13,1.017,282.22
2023-01-01 16:00:00,2023,1,1,16,79.28,4.85,81.9,18.84,312.17,102.33,62.57,33.54,0.0,362.35,0.088,14.04,1.0384,105.67
2023-01-01 17:00:00,2023,1,1,17,0.0,5.99,0.0,18.36,310.23,102.34,61.94,0.0,0.0,0.0,0.0,9.38,1.0547,0.0
2023-01-01 18:00:00,2023,1,1,18,0.0,7.09,0.0,17.97,308.62,102.36,62.62,0.0,0.0,0.0,0.0,7.33,1.0618,0.0
2023-01-01 19:00:00,2023,1,1,19,0.0,7.84,0.0,17.32,305.62,102.39,66.17,0.0,0.0,0.0,0.0,5.56,1.068,0.0
2023-01-01 20:00:00,2023,1,1,20,0.0,8.2,0.0,16.69,306.98,102.4,69.39,0.0,0.0,0.0,0.0,4.39,1.0721,0.0
2023-01-01 21:00:00,2023,1,1,21,0.0,8.2,0.0,16.11,303.88,102.4,71.73,0.0,0.0,0.0,0.0,3.81,1.0742,0.0
2023-01-01 22:00:00,2023,1,1,22,0.0,8.24,0.0,15.5,302.27,102.39,74.12,0.0,0.0,0.0,0.0,3.14,1.0765,0.0
2023-01-01 23:00:00,2023,1,1,23,0.0,8.3,0.0,14.94,299.1,102.38,75.96,0.0,0.0,0.0,0.0,2.49,1.0788,0.0
2023-01-02 00:00:00,2023,1,2,0,0.0,8.2,0.0,14.32,298.02,102.35,77.74,0.0,0.0,0.0,0.0,2.02,1.0804,0.0
2023-01-02 01:00:00,2023,1,2,1,0.0,8.07,0.0,13.77,291.25,102.33,79.11,0.0,0.0,0.0,0.0,1.66,1.0817,0.0
2023-01-02 02:00:00,2023,1,2,2,0.0,7.99,0.0,13.37,295.4,102.33,79.82,0.0,0.0,0.0,0.0,1.38,1.0827,0.0
2023-01-02 03:00:00,2023,1,2,3,0.0,7.95,0.0,13.13,290.85,102.32,79.99,0.0,0.0,0.0,0.0,1.2,1.0833,0.0
2023-01-02 04:00:00,2023,1,2,4,0.0,8.08,0.0,12.95,294.08,102.3,80.59,0.0,0.0,0.0,0.0,0.83,1.0846,0.0
2023-01-02 05:00:00,2023,1,2,5,0.0,8.26,0.0,12.78,293.4,102.31,81.72,0.0,0.0,0.0,0.0,0.39,1.0861,0.0
2023-01-02 06:00:00,2023,1,2,6,0.0,8.44,0.0,12.65,293.42,102.33,81.66,0.0,0.0,0.0,0.0,-0.01,1.0875,0.0
2023-01-02 07:00:00,2023,1,2,7,0.0,8.58,0.0,12.53,293.83,102.34,81.08,0.0,0.0,0.0,0.0,-0.34,1.0887,0.0
2023-01-02 08:00:00,2023,1,2,8,99.57,8.68,103.6,12.95,293.25,102.35,78.01,46.75,0.0,309.0,0.118,3.04,1.0769,136.35
2023-01-02 09:00:00,2023,1,2,9,246.5,8.5,251.15,14.18,291.73,102.36,68.07,72.37,0.0,608.09,0.256,9.13,1.0555,303.44
2023-01-02 10:00:00,2023,1,2,10,378.35,8.26,381.83,15.67,294.02,102.35,61.38,93.06,0.0,708.9,0.374,15.1,1.0346,451.57
2023-01-02 11:00:00,2023,1,2,11,464.88,7.68,467.3,17.19,298.25,102.32,55.62,90.14,0.0,796.97,0.436,20.2,1.0168,535.8
2023-01-02 12:00:00,2023,1,2,12,505.3,6.47,505.65,18.55,299.38,102.24,51.78,75.23,0.0,879.36,0.453,24.64,1.0013,564.49
2023-01-02 13:00:00,2023,1,2,13,462.23,4.42,463.77,19.27,304.62,102.19,56.03,88.04,0.0,808.14,0.423,27.08,0.9927,531.5
2023-01-02 14:00:00,2023,1,2,14,368.9,3.41,371.85,19.57,308.88,102.15,57.83,87.71,0.0,715.91,0.349,25.98,0.9966,437.91
2023-01-02 15:00:00,2023,1,2,15,238.55,2.8,244.05,19.69,310.25,102.13,58.24,63.47,0.0,656.36,0.233,22.94,1.0072,288.49
2023-01-02 16:00:00,2023,1,2,16,82.95,2.77,85.25,19.41,309.52,102.13,58.4,33.83,0.0,362.37,0.09,17.85,1.025,109.57
2023-01-02 17:00:00,2023,1,2,17,0.0,3.39,0.0,18.78,308.83,102.15,60.68,0.0,0.0,0.0,0.0,13.7,1.0396,0.0
2023-01-02 18:00:00,2023,1,2,18,0.0,3.93,0.0,18.17,308.92,102.19,62.75,0.0,0.0,0.0,0.0,12.28,1.0445,0.0
2023-01-02 19:00:00,2023,1,2,19,0.0,4.48,0.0,17.64,304.3,102.23,60.23,0.0,0.0,0.0,0.0,10.92,1.0493,0.0
2023-01-02 20:00:00,2023,1,2,20,0.0,5.03,0.0,17.11,305.02,102.26,56.53,0.0,0.0,0.0,0.0,9.56,1.054,0.0
2023-01-02 21:00:00,2023,1,2,21,0.0,5.09,0.0,16.52,303.08,102.27,58.01,0.0,0.0,0.0,0.0,8.88,1.0564,0.0
2023-01-02 22:00:00,2023,1,2,22,0.0,5.03,0.0,16.06,302.42,102.3,61.89,0.0,0.0,0.0,0.0,8.51,1.0577,0.0
2023-01-02 23:00:00,2023,1,2,23,0.0,4.98,0.0,15.82,303.9,102.32,66.31,0.0,0.0,0.0,0.0,8.35,1.0583,0.0
2023-01-03 00:00:00,2023,1,3,0,0.0,4.96,0.0,15.72,306.08,102.33,71.4,0.0,0.0,0.0,0.0,8.28,1.0585,0.0
2023-01-03 01:00:00,2023,1,3,1,0.0,4.88,0.0,15.6,302.05,102.34,76.92,0.0,0.0,0.0,0.0,8.28,1.0585,0.0
2023-01-03 02:00:00,2023,1,3,2,0.0,4.55,0.0,15.44,308.98,102.36,81.44,0.0,0.0,0.0,0.0,8.62,1.0573,0.0
2023-01-03 03:00:00,2023,1,3,3,0.0,4.12,0.0,15.26,308.73,102.36,84.26,0.0,0.0,0.0,0.0,9.08,1.0557,0.0
2023-01-03 04:00:00,2023,1,3,4,0.0,3.76,0.0,15.07,308.38,102.35,85.76,0.0,0.0,0.0,0.0,9.43,1.0545,0.0
2023-01-03 05:00:00,2023,1,3,5,0.0,3.56,0.0,14.92,306.98,102.37,86.32,0.0,0.0,0.0,0.0,9.58,1.054,0.0
2023-01-03 06:00:00,2023,1,3,6,0.0,3.47,0.0,14.82,306.3,102.42,85.67,0.0,0.0,0.0,0.0,9.62,1.0538,0.0
2023-01-03 07:00:00,2023,1,3,7,0.0,3.49,0.0,14.8,299.88,102.46,83.98,0.0,0.0,0.0,0.0,9.57,1.054,0.0
2023-01-03 08:00:00,2023,1,3,8,92.68,3.4,100.85,15.27,306.05,102.5,78.69,48.28,0.0,257.47,0.109,13.07,1.0418,130.67
2023-01-03 09:00:00,2023,1,3,9,234.6,3.35,250.0,15.94,303.62,102.55,73.43,79.27,0.0,564.09,0.243,18.25,1.0236,296.97
2023-01-03 10:00:00,2023,1,3,10,362.6,3.05,380.55,16.46,303.02,102.59,70.36,99.12,0.0,698.77,0.355,23.22,1.0062,440.59
