DATETIME,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS10M,CLRSKY_SFC_SW_DWN,T2M,ALLSKY_SFC_LW_DWN,PS,RH2M,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN_W,CLRSKY_SFC_SW_DWN_W,ALLSKY_SFC_SW_DIFF_W,ALLSKY_SFC_SW_DNI_W,pv_production_kwh,CELL_TEMP_C,TEMP_DERATE,POA_IRRADIANCE,AC_POWER_KW,hour,month,clearness_ratio
2023-01-01 00:00:00,2023,1,1,0,0.0,4.68,0.0,15.42,307.95,102.67,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1.0747,0.0,0.0,0,1,0.0
2023-01-01 01:00:00,2023,1,1,1,0.0,4.55,0.0,15.12,304.85,102.66,69.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0752,0.0,0.0,1,1,0.0
2023-01-01 02:00:00,2023,1,1,2,0.0,4.47,0.0,14.82,304.9,102.66,69.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,1.076,0.0,0.0,2,1,0.0
2023-01-01 03:00:00,2023,1,1,3,0.0,4.39,0.0,14.51,305.27,102.63,70.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,1.0768,0.0,0.0,3,1,0.0
2023-01-01 04:00:00,2023,1,1,4,0.0,4.27,0.0,14.24,303.67,102.61,72.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,1.0772,0.0,0.0,4,1,0.0
2023-01-01 05:00:00,2023,1,1,5,0.0,4.15,0.0,14.06,303.9,102.6,74.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,1.0772,0.0,0.0,5,1,0.0
2023-01-01 06:00:00,2023,1,1,6,0.0,4.11,0.0,13.89,301.67,102.61,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,1.0777,0.0,0.0,6,1,0.0
2023-01-01 07:00:00,2023,1,1,7,0.0,4.07,0.0,13.78,300.8,102.62,77.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,1.078,0.0,0.0,7,1,0.0
2023-01-01 08:00:00,2023,1,1,8,98.55,4.07,102.62,14.16,301.98,102.62,76.54,45.48,0.0,313.51,27375.0219,28505.578360000003,12633.34344,87086.18078000001,0.121,11.13,1.0624,140.98,0.121,8,1,0.9603297570672669
2023-01-01 09:00:00,2023,1,1,9,242.85,4.37,248.3,14.8,299.45,102.63,72.28,73.78,0.0,572.15,67458.3873,68972.2774,20494.460840000003,158930.6827,0.263,15.83,1.0412,311.69,0.263,9,1,0.9780468060942162
2023-01-01 10:00:00,2023,1,1,10,372.77,4.41,377.62,15.63,299.62,102.63,68.06,91.65,0.0,697.92,103547.30506,104894.52836000001,25458.353700000003,193866.82176,0.378,20.66,1.0195,458.28,0.378,10,1,0.9871537864684432
2023-01-01 11:00:00,2023,1,1,11,459.83,4.93,465.52,16.86,304.23,102.57,63.49,84.22,0.0,803.39,127730.65774000001,129311.21456000001,23394.463160000003,223164.06742,0.438,23.83,1.0052,538.41,0.438,11,1,0.9877749875945446
2023-01-01 12:00:00,2023,1,1,12,489.9,5.34,492.9,17.92,304.52,102.49,59.64,82.28,0.0,834.69,136083.4422,136916.7762,22855.57384,231858.51882000003,0.458,25.22,0.999,566.67,0.458,12,1,0.9939115562760068
2023-01-01 13:00:00,2023,1,1,13,464.65,5.27,465.05,18.75,303.75,102.42,56.88,68.05,0.0,865.74,129069.54770000001,129180.65890000001,18902.7929,240483.52572000003,0.427,25.37,0.9984,528.14,0.427,13,1,0.9991377289802623
2023-01-01 14:00:00,2023,1,1,14,362.08,4.73,364.75,19.24,309.52,102.37,57.55,83.33,0.0,720.6,100577.85824,101319.5255,23147.24074,200166.8268,0.358,23.46,1.0069,439.83,0.358,14,1,0.9926771962242735
2023-01-01 15:00:00,2023,1,1,15,233.82,4.31,239.77,19.29,312.45,102.34,60.48,61.51,0.0,651.67,64950.051960000004,66602.83106000001,17086.124780000002,181019.58926,0.241,20.13,1.0219,291.21,0.241,15,1,0.9751804847124964
2023-01-01 16:00:00,2023,1,1,16,79.28,4.85,81.9,18.84,312.17,102.33,62.57,33.54,0.0,362.35,22022.239840000002,22750.018200000002,9316.67412,100652.8583,0.094,14.04,1.0493,110.57,0.094,16,1,0.9679979487429945
2023-01-01 17:00:00,2023,1,1,17,0.0,5.99,0.0,18.36,310.23,102.34,61.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,1.0703,0.0,0.0,17,1,0.0
2023-01-01 18:00:00,2023,1,1,18,0.0,7.09,0.0,17.97,308.62,102.36,62.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,1.0795,0.0,0.0,18,1,0.0
2023-01-01 19:00:00,2023,1,1,19,0.0,7.84,0.0,17.32,305.62,102.39,66.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,1.0875,0.0,0.0,19,1,0.0
2023-01-01 20:00:00,2023,1,1,20,0.0,8.2,0.0,16.69,306.98,102.4,69.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,1.0927,0.0,0.0,20,1,0.0
2023-01-01 21:00:00,2023,1,1,21,0.0,8.2,0.0,16.11,303.88,102.4,71.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,1.0954,0.0,0.0,21,1,0.0
2023-01-01 22:00:00,2023,1,1,22,0.0,8.24,0.0,15.5,302.27,102.39,74.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,1.0984,0.0,0.0,22,1,0.0
2023-01-01 23:00:00,2023,1,1,23,0.0,8.3,0.0,14.94,299.1,102.38,75.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.1013,0.0,0.0,23,1,0.0
2023-01-02 00:00:00,2023,1,2,0,0.0,8.2,0.0,14.32,298.02,102.35,77.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1.1034,0.0,0.0,0,1,0.0
2023-01-02 01:00:00,2023,1,2,1,0.0,8.07,0.0,13.77,291.25,102.33,79.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.105,0.0,0.0,1,1,0.0
2023-01-02 02:00:00,2023,1,2,2,0.0,7.99,0.0,13.37,295.4,102.33,79.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.1063,0.0,0.0,2,1,0.0
2023-01-02 03:00:00,2023,1,2,3,0.0,7.95,0.0,13.13,290.85,102.32,79.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1071,0.0,0.0,3,1,0.0
2023-01-02 04:00:00,2023,1,2,4,0.0,8.08,0.0,12.95,294.08,102.3,80.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.1088,0.0,0.0,4,1,0.0
2023-01-02 05:00:00,2023,1,2,5,0.0,8.26,0.0,12.78,293.4,102.31,81.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.1107,0.0,0.0,5,1,0.0
2023-01-02 06:00:00,2023,1,2,6,0.0,8.44,0.0,12.65,293.42,102.33,81.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1.1125,0.0,0.0,6,1,0.0
2023-01-02 07:00:00,2023,1,2,7,0.0,8.58,0.0,12.53,293.83,102.34,81.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,1.114,0.0,0.0,7,1,0.0
2023-01-02 08:00:00,2023,1,2,8,99.57,8.68,103.6,12.95,293.25,102.35,78.01,46.75,0.0,309.0,27658.35546,28777.8008,12986.121500000001,85833.402,0.127,3.04,1.0988,143.19,0.127,8,1,0.961091109159178
2023-01-02 09:00:00,2023,1,2,9,246.5,8.5,251.15,14.18,291.73,102.36,68.07,72.37,0.0,608.09,68472.277,69763.94470000001,20102.79386,168914.02402,0.272,9.13,1.0714,314.02,0.272,9,1,0.9814812602776816
2023-01-02 10:00:00,2023,1,2,10,378.35,8.26,381.83,15.67,294.02,102.35,61.38,93.06,0.0,708.9,105097.30630000001,106063.97374,25850.02068,196916.8242,0.393,15.1,1.0445,465.18,0.393,10,1,0.9908834012953376
2023-01-02 11:00:00,2023,1,2,11,464.88,7.68,467.3,17.19,298.25,102.32,55.62,90.14,0.0,796.97,129133.43664000001,129805.65940000002,25038.90892,221380.73266000004,0.454,20.2,1.0216,548.98,0.454,11,1,0.9948191850648725
2023-01-02 12:00:00,2023,1,2,12,505.3,6.47,505.65,18.55,299.38,102.24,51.78,75.23,0.0,879.36,140361.22340000002,140458.4457,20897.238940000003,244266.86208000002,0.466,24.64,1.0016,575.49,0.466,12,1,0.9993058453360125
2023-01-02 13:00:00,2023,1,2,13,462.23,4.42,463.77,19.27,304.62,102.19,56.03,88.04,0.0,808.14,128397.32494000002,128825.10306000001,24455.575120000005,224483.51292,0.436,27.08,0.9906,544.37,0.436,13,1,0.9966772394134176
2023-01-02 14:00:00,2023,1,2,14,368.9,3.41,371.85,19.57,308.88,102.15,57.83,87.71,0.0,715.91,102472.3042,103291.74930000001,24363.90838,198864.04798,0.363,25.98,0.9956,450.73,0.363,14,1,0.9920640256446802
2023-01-02 15:00:00,2023,1,2,15,238.55,2.8,244.05,19.69,310.25,102.13,58.24,63.47,0.0,656.36,66263.9419,67791.72090000001,17630.56966,182322.36808000001,0.243,22.94,1.0092,297.77,0.243,15,1,0.9774596293397692
2023-01-02 16:00:00,2023,1,2,16,82.95,2.77,85.25,19.41,309.52,102.13,58.4,33.83,0.0,362.37,23041.685100000002,23680.574500000002,9397.22974,100658.41386000002,0.096,17.85,1.0322,114.51,0.096,16,1,0.9730091142625893
2023-01-02 17:00:00,2023,1,2,17,0.0,3.39,0.0,18.78,308.83,102.15,60.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1.0509,0.0,0.0,17,1,0.0
2023-01-02 18:00:00,2023,1,2,18,0.0,3.93,0.0,18.17,308.92,102.19,62.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,1.0573,0.0,0.0,18,1,0.0
2023-01-02 19:00:00,2023,1,2,19,0.0,4.48,0.0,17.64,304.3,102.23,60.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,1.0634,0.0,0.0,19,1,0.0
2023-01-02 20:00:00,2023,1,2,20,0.0,5.03,0.0,17.11,305.02,102.26,56.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56,1.0695,0.0,0.0,20,1,0.0
2023-01-02 21:00:00,2023,1,2,21,0.0,5.09,0.0,16.52,303.08,102.27,58.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,1.0725,0.0,0.0,21,1,0.0
